PERMNO,date,BIDLO,ASKHI,PRC,VOL,OPENPRC
14593,2024-01-02,183.88499,188.44000,185.64000,81752737,187.14999
14593,2024-01-03,183.42999,185.88000,184.25000,58136569,184.22000
14593,2024-01-04,180.88000,183.08720,181.91000,71280275,182.14999
14593,2024-01-05,180.17000,182.75999,181.17999,62064040,181.99001
14593,2024-01-08,181.50000,185.60001,185.56000,58748031,182.08501
14593,2024-01-09,182.73000,185.14999,185.14000,42661129,183.92000
14593,2024-01-10,183.92000,186.39999,186.19000,46552743,184.35001
14593,2024-01-11,183.62000,187.05000,185.59000,48864529,186.53999
14593,2024-01-12,185.19000,186.74001,185.92000,40351273,186.06000
14593,2024-01-16,180.93401,184.25999,183.63000,65458029,182.16000
14593,2024-01-17,180.30000,182.92999,182.67999,47092050,181.27000
14593,2024-01-18,185.83000,189.14000,188.63000,77548114,186.09000
14593,2024-01-19,188.82001,191.95000,191.56000,68570886,189.33000
14593,2024-01-22,192.25999,195.33000,193.89000,59881026,192.30000
14593,2024-01-23,193.82990,195.75000,195.17999,42079996,195.02000
14593,2024-01-24,194.34000,196.38000,194.50000,53312311,195.42000
14593,2024-01-25,193.11250,196.26750,194.17000,54347995,195.22000
14593,2024-01-26,191.94000,194.75999,192.42000,44277670,194.27000
14593,2024-01-29,189.58000,192.20000,191.73000,46863644,192.00999
14593,2024-01-30,187.47000,191.80000,188.03999,55466305,190.94000
14593,2024-01-31,184.35001,187.09500,184.39999,55250387,187.03999
14593,2024-02-01,183.82001,186.95000,186.86000,63848003,183.98500
14593,2024-02-02,179.25000,187.33000,185.85001,101668568,179.86000
14593,2024-02-05,185.84000,189.25000,187.67999,68644349,188.14999
14593,2024-02-06,186.76950,189.31000,189.30000,43168356,186.86000
14593,2024-02-07,188.61000,191.05000,189.41000,52425169,190.64000
14593,2024-02-08,187.35001,189.53500,188.32001,40543899,189.38499
14593,2024-02-09,188.00000,189.99001,188.85001,44510858,188.64999
14593,2024-02-12,186.78999,188.67000,187.14999,41277596,188.41499
14593,2024-02-13,183.51280,186.21001,185.03999,56069701,185.77000
14593,2024-02-14,182.44000,185.53000,184.14999,54139130,185.32001
14593,2024-02-15,181.35001,184.49001,183.86000,64755044,183.55000
14593,2024-02-16,181.66499,184.85001,182.31000,49866412,183.42000
14593,2024-02-20,180.00000,182.42999,181.56000,53201807,181.78999
14593,2024-02-21,180.66000,182.88879,182.32001,41135120,181.94000
14593,2024-02-22,182.46001,184.95500,184.37000,51655137,183.48000
14593,2024-02-23,182.23000,185.03999,182.52000,44657400,185.00999
14593,2024-02-26,180.64999,182.75999,181.16000,40464653,182.24001
14593,2024-02-27,179.56000,183.92250,182.63000,53722642,181.10001
14593,2024-02-28,180.13000,183.12000,181.42000,48458064,182.50999
14593,2024-02-29,179.53000,182.57001,180.75000,135428998,181.27000
